No,達成率,値段,商品説明,画像URL
1,1033%,"2,582,750円",3秒でスーツケースがキックボード！？旅行の移動をエキサイティングに！PARTID,https://hayabusa.io/makuake/upload/project/11103/main_11103.jpg?width=252&height=142&quality=95&version=1615178759&format=auto&ttl=31536000&mode=eco
2,1731%,"8,656,320円",公道も走れる！持ち運び可能な電動キックボードで移動にワクワクを。,https://hayabusa.io/makuake/upload/project/7803/main_7803.png?width=252&height=142&quality=95&version=1575079271&format=auto&ttl=31536000&mode=eco
3,1%,"105,800円",爽快な風を感じて楽しめる本格派キックボード STREET ROCKET,https://hayabusa.io/makuake/upload/project/23211/main_23211.png?width=252&height=142&quality=95&version=1648692032&format=auto&ttl=31536000&mode=eco
4,511%,"10,225,864円",電動キックボード界のパイオニアMANTIS10！世界基準の高品質！,https://hayabusa.io/makuake/upload/project/24388/main_24388.png?width=252&height=142&quality=95&version=1655517603&format=auto&ttl=31536000&mode=eco
5,13%,"68,805円",世界で話題!! 子供の成長に合わせて進化する キックボード /バイク・自転車,https://hayabusa.io/makuake/upload/project/24395/main_24395.png?width=252&height=142&quality=95&version=1653271205&format=auto&ttl=31536000&mode=eco
6,2313%,"23,130,800円",気軽に乗れる折畳式キックボード型三輪モーターサイクル,https://hayabusa.io/makuake/upload/project/16107/main_16107.png?width=252&height=142&quality=95&version=1656472300&format=auto&ttl=31536000&mode=eco
7,596%,"2,980,900円",【小回り利くのが欲しかった】キャンプ・釣り・レジャーで走れる電動キックボード,https://hayabusa.io/makuake/upload/project/15439/main_15439.jpg?width=252&height=142&quality=95&version=1626689688&format=auto&ttl=31536000&mode=eco
8,239%,"7,171,040円",日本初上陸！史上最高スペックの電動キックボード「Kintone motion」,https://hayabusa.io/makuake/upload/project/3259/main_3259.jpg?width=252&height=142&quality=95&version=1522386165&format=auto&ttl=31536000&mode=eco
9,5700%,"28,500,600円",安全性を追求。未来の移動手段に、電動キックボードCOSWHEEL MIRAI T,https://hayabusa.io/makuake/upload/project/24320/main_24320.jpg?width=252&height=142&quality=95&version=1655172003&format=auto&ttl=31536000&mode=eco
10,5407%,"27,036,240円",令和の移動革命！公道可能で持ち運べる電動キックボード Kintone α GO,https://hayabusa.io/makuake/upload/project/7643/main_7643.png?width=252&height=142&quality=95&version=1575079237&format=auto&ttl=31536000&mode=eco
11,279%,"5,591,212円",安全性を追求した、公道走行可能な電動キックボード「YADEA KS5PRO」,https://hayabusa.io/makuake/upload/project/24585/main_24585.png?width=252&height=142&quality=95&version=1653962425&format=auto&ttl=31536000&mode=eco
12,5419%,"2,709,840円",公道走行可能！タフ＆ワイルド電動キックボード。大きいタイヤで圧倒的な乗りやすさ！,https://hayabusa.io/makuake/upload/project/8603/main_8603.jpg?width=252&height=142&quality=95&version=1582941712&format=auto&ttl=31536000&mode=eco
13,115%,"922,000円",オフロード走行可能な高性能電動キックボード！防塵防滴 ディスクブレーキ＋ABS,https://hayabusa.io/makuake/upload/project/5931/main_5931.png?width=252&height=142&quality=95&version=1553824826&format=auto&ttl=31536000&mode=eco
14,19%,"586,800円",安全・操作性を追求した！マルチ電動キックボード初登場！MaKing　NewK7,https://hayabusa.io/makuake/upload/project/3840/main_3840.jpg?width=252&height=142&quality=95&version=1518765138&format=auto&ttl=31536000&mode=eco
15,532%,"2,661,450円",国内公道対応！日本で使用する為に開発された電動キックボード『T6-Board』,https://hayabusa.io/makuake/upload/project/16975/main_16975.png?width=252&height=142&quality=95&version=1625018509&format=auto&ttl=31536000&mode=eco
